iter	Passed	Remaining
428	1875	2496
429	1879	2491
430	1883	2486
431	1888	2482
432	1891	2477
433	1897	2474
434	1901	2469
435	1905	2465
436	1909	2459
437	1912	2454
438	1916	2448
439	1920	2443
440	1923	2438
441	1927	2433
442	1930	2427
443	1934	2422
444	1938	2417
445	1941	2411
446	1945	2406
447	1949	2402
448	1953	2396
449	1956	2391
450	1960	2385
451	1963	2380
452	1967	2375
453	1970	2370
454	1974	2364
455	1977	2359
456	1981	2354
457	1985	2349
458	1989	2344
459	1992	2339
460	1996	2334
461	2000	2329
462	2004	2324
463	2007	2319
464	2011	2313
465	2014	2308
466	2018	2303
467	2021	2298
468	2025	2293
469	2029	2288
470	2032	2283
471	2036	2277
472	2039	2272
473	2042	2266
474	2046	2261
475	2049	2256
476	2053	2251
477	2056	2246
478	2060	2241
479	2064	2236
480	2067	2231
481	2071	2225
482	2074	2220
483	2078	2216
484	2082	2211
485	2085	2205
486	2089	2200
487	2092	2195
488	2096	2190
489	2099	2185
490	2103	2180
491	2106	2175
492	2110	2170
493	2114	2165
494	2117	2160
495	2122	2156
496	2125	2151
497	2129	2146
498	2133	2141
499	2136	2136
500	2140	2132
501	2144	2127
502	2148	2122
503	2151	2117
504	2156	2113
505	2159	2108
506	2163	2103
507	2166	2098
508	2171	2094
509	2174	2089
510	2178	2084
511	2181	2079
512	2185	2074
513	2189	2070
514	2192	2065
515	2196	2060
516	2200	2055
517	2204	2051
518	2207	2046
519	2212	2041
520	2215	2036
521	2220	2032
522	2224	2028
523	2227	2023
524	2231	2019
525	2235	2014
526	2238	2009
527	2242	2004
528	2245	1999
529	2249	1994
530	2253	1990
531	2256	1985
532	2260	1980
533	2263	1975
534	2267	1970
535	2270	1965
536	2274	1961
537	2277	1956
538	2281	1951
539	2285	1946
540	2289	1942
541	2292	1936
542	2295	1931
543	2299	1927
544	2302	1922
545	2306	1918
546	2310	1913
547	2313	1908
548	2317	1903
549	2320	1898
550	2324	1894
551	2327	1889
552	2331	1884
553	2334	1879
554	2338	1874
555	2342	1870
556	2345	1865
557	2349	1861
558	2353	1856
559	2356	1851
560	2360	1846
561	2363	1841
562	2367	1837
563	2370	1832
564	2373	1827
565	2377	1823
566	2381	1818
567	2384	1813
568	2388	1808
569	2392	1804
570	2396	1800
571	2399	1795
572	2403	1791
573	2407	1787
574	2411	1782
575	2415	1778
576	2419	1773
577	2423	1769
578	2427	1764
579	2430	1760
580	2434	1755
581	2438	1751
582	2442	1747
583	2446	1742
584	2450	1738
585	2453	1733
586	2457	1728
587	2460	1724
588	2464	1719
589	2467	1714
590	2471	1710
591	2475	1705
592	2478	1701
593	2481	1696
594	2485	1691
595	2489	1687
596	2492	1682
597	2495	1677
598	2499	1673
599	2502	1668
600	2506	1663
601	2510	1659
602	2513	1655
603	2517	1650
604	2521	1646
605	2525	1641
606	2529	1637
607	2534	1633
608	2538	1629
609	2542	1625
610	2546	1621
611	2550	1616
612	2554	1612
613	2558	1608
614	2568	1607
615	2571	1603
616	2575	1598
617	2579	1594
618	2583	1590
619	2587	1585
620	2590	1581
621	2594	1576
622	2597	1572
623	2601	1567
624	2605	1563
625	2608	1558
626	2612	1554
627	2616	1549
628	2620	1545
629	2623	1540
630	2627	1536
631	2632	1532
632	2636	1528
633	2640	1524
634	2647	1521
635	2651	1517
636	2655	1513
637	2659	1508
638	2663	1504
639	2666	1499
640	2671	1496
641	2676	1492
642	2680	1488
643	2684	1483
644	2687	1479
645	2692	1475
646	2696	1471
647	2699	1466
648	2703	1461
649	2707	1458
650	2711	1453
651	2715	1449
652	2720	1445
653	2724	1441
654	2727	1436
655	2731	1432
656	2734	1427
657	2738	1423
658	2741	1418
659	2745	1414
660	2748	1409
661	2752	1405
662	2756	1400
663	2759	1396
664	2763	1392
665	2766	1387
666	2770	1383
667	2774	1378
668	2778	1374
669	2781	1369
670	2784	1365
671	2789	1361
672	2793	1357
673	2796	1352
674	2799	1348
675	2804	1344
676	2807	1339
677	2810	1334
678	2814	1330
679	2818	1326
680	2822	1321
681	2825	1317
682	2828	1312
683	2832	1308
684	2835	1304
685	2839	1299
686	2843	1295
687	2846	1290
688	2850	1286
689	2853	1282
690	2857	1277
691	2860	1273
692	2864	1268
693	2868	1264
694	2872	1260
695	2875	1256
696	2878	1251
697	2882	1247
698	2886	1242
699	2889	1238
700	2892	1233
701	2896	1229
702	2899	1225
703	2903	1220
704	2906	1216
705	2909	1211
706	2913	1207
707	2917	1203
708	2920	1198
709	2924	1194
710	2928	1190
711	2932	1186
712	2935	1181
713	2938	1177
714	2995	1194
715	3003	1191
716	3006	1186
717	3011	1182
718	3023	1181
719	3028	1177
720	3032	1173
721	3036	1169
722	3040	1164
723	3044	1160
724	3048	1156
725	3051	1151
726	3055	1147
727	3059	1143
728	3062	1138
729	3066	1134
730	3069	1129
731	3073	1125
732	3077	1120
733	3080	1116
734	3084	1111
735	3087	1107
736	3091	1103
737	3094	1098
738	3098	1094
739	3101	1089
740	3105	1085
741	3109	1081
742	3113	1076
743	3116	1072
744	3119	1067
745	3123	1063
746	3127	1059
747	3130	1054
748	3134	1050
749	3138	1046
750	3141	1041
751	3145	1037
752	3148	1032
753	3152	1028
754	3155	1024
755	3159	1019
756	3162	1015
757	3166	1010
758	3170	1006
759	3173	1002
760	3177	997
761	3180	993
762	3185	989
763	3188	985
764	3192	980
765	3195	976
766	3199	971
767	3203	967
768	3206	963
769	3210	958
770	3213	954
771	3217	950
772	3221	945
773	3224	941
774	3228	937
775	3232	933
776	3236	928
777	3239	924
778	3243	920
779	3248	916
780	3251	911
781	3255	907
782	3259	903
783	3262	898
784	3266	894
785	3270	890
786	3273	885
787	3276	881
788	3281	877
789	3284	873
790	3287	868
791	3291	864
792	3294	860
793	3298	855
794	3302	851
795	3305	847
796	3309	842
797	3313	838
798	3316	834
799	3319	829
800	3323	825
801	3327	821
802	3330	817
803	3334	812
804	3337	808
805	3341	804
806	3345	799
807	3348	795
808	3351	791
809	3354	786
810	3358	782
811	3361	778
812	3365	774
813	3368	769
814	3372	765
815	3375	761
816	3379	756
817	3382	752
818	3385	748
819	3389	744
820	3392	739
821	3396	735
822	3399	731
823	3403	726
824	3407	722
825	3410	718
826	3414	714
827	3417	709
828	3421	705
829	3424	701
830	3428	697
